Application/Permit Number,Category,Permit Type,Action Type
6537624,SINGLE FAMILY / DUPLEX,Construction,NEW
6537478,COMMERCIAL,Construction,ADD/ALT
6548898,COMMERCIAL,Construction,ADD/ALT
6552487,,Site Development,TREE/VEGETATION MAINT/RESTORE
6552259,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6540463,SINGLE FAMILY / DUPLEX,Construction,NEW
6550823,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6552099,COMMERCIAL,Construction,ADD/ALT
6552429,SINGLE FAMILY / DUPLEX,Site Development,TREE/VEGETATION MAINT/RESTORE
6531084,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6551522,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6552103,COMMERCIAL,Construction,NO CONSTRUCTION
6552382,COMMERCIAL,Construction,NO CONSTRUCTION
6552408,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6552355,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6551070,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6549407,SINGLE FAMILY / DUPLEX,Site Development,TREE/VEGETATION MAINT/RESTORE
6551109,COMMERCIAL,Construction,TEMP
6605200,COMMERCIAL,Construction,ADD/ALT
6552153,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6544233,COMMERCIAL,Construction,ADD/ALT
6605119,MULTIFAMILY,Construction,NEW
6615168,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6552216,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6590261,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6543562,COMMERCIAL,Construction,ADD/ALT
6544377,INDUSTRIAL,Construction,ADD/ALT
6219118,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6552207,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6552183,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6552187,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6552158,COMMERCIAL,Construction,ADD/ALT
6552167,COMMERCIAL,Construction,ADD/ALT
6490376,COMMERCIAL,Construction,ADD/ALT
6552154,COMMERCIAL,Construction,ADD/ALT
6544380,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6544978,COMMERCIAL,Construction,ADD/ALT
6362512,COMMERCIAL,Construction,NEW
6552155,COMMERCIAL,Construction,ALTER
6590302,MULTIFAMILY,Construction,ADD/ALT
6548733,COMMERCIAL,Construction,ADD/ALT
6552039,COMMERCIAL,Construction,ADD/ALT
6619087,COMMERCIAL,Construction,ALTER
6551539,SINGLE FAMILY / DUPLEX,Construction,NO CONSTRUCTION
6535589,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6519892,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6549650,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6548190,INSTITUTIONAL,Construction,ADD/ALT
6474433,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6539831,COMMERCIAL,Construction,ADD/ALT
6549607,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6552052,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6535682,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6552001,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6551754,MULTIFAMILY,Demolition,DEMOLITION
6590927,MULTIFAMILY,Construction,NEW
6619698,COMMERCIAL,Construction,ALTER
6548846,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6551994,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6523667,MULTIFAMILY,Construction,NEW
6551981,COMMERCIAL,Construction,ADD/ALT
6551977,COMMERCIAL,Construction,ALTER
6602991,COMMERCIAL,Construction,ALTER
6551752,MULTIFAMILY,Construction,NEW
6568766,MULTIFAMILY,Construction,ADD/ALT
6549255,INSTITUTIONAL,Construction,ADD/ALT
6551107,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6551905,COMMERCIAL,Construction,ADD/ALT
6527501,SINGLE FAMILY / DUPLEX,Construction,NEW
6551652,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6536562,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6546887,COMMERCIAL,Construction,ADD/ALT
6529966,COMMERCIAL,Construction,ADD/ALT
6549524,SINGLE FAMILY / DUPLEX,Construction,NEW
6537025,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6545068,COMMERCIAL,Construction,ADD/ALT
6550643,,Site Development,TREE/VEGETATION MAINT/RESTORE
6551759,COMMERCIAL,Construction,ADD/ALT
6551729,MULTIFAMILY,Construction,ADD/ALT
6551750,COMMERCIAL,Construction,ADD/ALT
6549075,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6594343,COMMERCIAL,Construction,ADD/ALT
6530462,MULTIFAMILY,Construction,ADD/ALT
6549231,MULTIFAMILY,Construction,NEW
6547687,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6551740,SINGLE FAMILY / DUPLEX,Site Development,TREE/VEGETATION MAINT/RESTORE
6574144,COMMERCIAL,Construction,ADD/ALT
6545282,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6545699,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6557701,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6551722,SINGLE FAMILY / DUPLEX,Site Development,TREE/VEGETATION MAINT/RESTORE
6457226,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6550620,COMMERCIAL,Construction,NO CONSTRUCTION
6520858,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6546565,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6486615,MULTIFAMILY,Construction,ADD/ALT
6551656,COMMERCIAL,Construction,ADD/ALT
6591612,SINGLE FAMILY / DUPLEX,Construction,NEW
6551127,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6551640,COMMERCIAL,Construction,ALTER
6398051,SINGLE FAMILY / DUPLEX,Construction,NEW
6543071,COMMERCIAL,Construction,ADD/ALT
6543075,COMMERCIAL,Construction,ADD/ALT
6544274,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6527785,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6551555,COMMERCIAL,Construction,ALTER
6503103,MULTIFAMILY,Demolition,DEMOLITION
6548574,,Site Development,TREE/VEGETATION MAINT/RESTORE
6551474,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6535675,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6551532,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6545944,SINGLE FAMILY / DUPLEX,Construction,NEW
6551514,COMMERCIAL,Construction,ALTER
6511263,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6618586,SINGLE FAMILY / DUPLEX,Construction,
6528360,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6551325,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6551227,SINGLE FAMILY / DUPLEX,Construction,NEW
6518817,SINGLE FAMILY / DUPLEX,Construction,NEW
6530416,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6549822,COMMERCIAL,Construction,TEMP
6505933,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6535728,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6545596,COMMERCIAL,Construction,TEMP
6522459,SINGLE FAMILY / DUPLEX,Construction,NEW
6535342,COMMERCIAL,Construction,ADD/ALT
6468770,COMMERCIAL,Demolition,DEMOLITION
6551385,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6546426,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6537073,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6549686,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6541893,INSTITUTIONAL,Construction,ADD/ALT
6613850,COMMERCIAL,Construction,ADD/ALT
6551351,COMMERCIAL,Construction,ADD/ALT
6551294,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6596215,COMMERCIAL,Construction,ADD/ALT
6549543,COMMERCIAL,Construction,ADD/ALT
6551266,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6541163,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6550729,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6543267,SINGLE FAMILY / DUPLEX,Demolition,RELOCATION
6522703,MULTIFAMILY,Construction,NEW
